index,X,Y,Name,Images,Ratings,Sports,Facility
73,103.7521939,1.3596884,Bukit Gombak ActiveSG Gym,https://lh5.googleusercontent.com/p/AF1QipMk0yoPIsXtyvTvrXf1oPezcFo2jIkac12jTUYX=w80-h106-k-no,4.2,"gym (i)
running (O)
football (O)",Gym and Fitness Centre
74,103.8617989,1.3252483,St Wilfred ActiveSG Sports Centre,https://lh5.googleusercontent.com/p/AF1QipOVTOfXXQuggO1jWA2BMQ4lP6DGQDON0WYcO5Di=w80-h106-k-no,4.3,"gym (i)
football (o)",Sports complex
75,103.7484817,1.3447276,Bukit Batok ActiveSG Gym,https://lh5.googleusercontent.com/p/AF1QipOmBS75ZtQVpNuYAHVIODzt8mum3Ecw-NBhicfj=w80-h106-k-no,3.7,gym (i),Gym and Fitness Centre
76,103.8451661,1.3351832,ActiveSG Gym at Toa Payoh West CC,https://lh5.googleusercontent.com/p/AF1QipOBT5uBCRB2E6HtgatoiBlvI3xSqcpcoEZunVvD=w92-h92-k-no,2.8,gym (i),Gym and Fitness Centre
77,103.7650332,1.3109619,Clementi ActiveSG Gym,https://lh5.googleusercontent.com/p/AF1QipOM28vRbofqQ5I6xmdyYHOWvLyZlAteCD4iE9xc=w122-h92-k-no,3.7,gym (i),Temporarily closed
78,103.7254336,1.3304311,Jurong Lake Gardens ActiveSG Gym,https://lh5.googleusercontent.com/p/AF1QipNCvK9DzR0uERzvvWvm1HpI9v_B-amNKeZmrPfu=w122-h92-k-no,4.6,gym (i),Gym and Fitness Centre
79,103.8724076,1.3227796,Kallang Basin Active Sg Gym,https://lh5.googleusercontent.com/p/AF1QipP6_LewyMyxwC7trUvJOYvHj1N9aPrwd6GoDjrP=w122-h92-k-no,3.4,gym (i),Gym and Fitness Centre
80,103.8244838,1.2743174,Bukit Purmei Hillock Park,https://lh5.googleusercontent.com/p/AF1QipP2hqZkQy77I7sl7eBVh8vb5lQGp-A6Qi2JXQCY=w153-h92-k-no,,football (O),
81,103.8159136,1.3138397,Singapore Botanic Gardens,https://lh5.googleusercontent.com/p/AF1QipPMKkMswdiO-SbIphFg8asaTK0p3TBqtKjwwBNn=w160-h92-k-no,4.7,running (O),Botanical garden
82,103.7998185,1.2791307,HortPark,https://lh5.googleusercontent.com/p/AF1QipPku6MJEsq7H6dcbYWHhsY1CvYQXrnTqF8LYzuj=w138-h92-k-no,4.5,running (O),Park
